problem size, direct, vector, indirect
8388608,    14053.83562,   3561.29154,   697.92700
16777216,   14045.82310,   3648.31139,   258.82489
33554432,   13988.56132,   3760.99632,   203.23775
67108864,   14035.46215,   3785.50943,   184.34145
134217728,  14030.75528,   3850.65726,   193.16411
268435456,  14036.27605,   3993.23399,   65.86093
