problem size, direct, vector, indirect
8388608, 0, 0.03509, 0.47467
16777216, 0, 0.03426, 0.28916
33554432, 0, 0.03323, 0.61529
67108864, 0, 0.03302, 0.67570
134217728, 0, 0.03246, 0.64710
268435456, 0, 0.03130, 1.93171
